,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
49,Jaggayyapeta,100,IN,1567801484,89,16.89,80.1,296.356,7.88
50,Albany,90,US,1567801485,49,42.65,-73.75,296.48,5.7
51,Nouadhibou,0,MR,1567801487,78,20.93,-17.03,296.15,7.2
52,Hobart,90,AU,1567801491,66,-42.88,147.33,283.15,7.7
53,Yellowknife,75,CA,1567801492,66,62.45,-114.38,285.15,5.7
54,Guerrero Negro,72,MX,1567801494,81,27.97,-114.04,295.856,5.04
55,Karratha,0,AU,1567801495,90,-20.74,116.85,287.756,1.86
56,Longyearbyen,40,NO,1567801497,59,78.22,15.63,275.15,3.6
57,Turbat,96,PK,1567801498,55,26.0,63.05,302.656,0.87
58,Koumac,0,NC,1567801499,69,-20.56,164.28,293.856,3.1
59,Jamestown,63,AU,1567801236,90,-33.21,138.6,279.256,3.08
60,Georgetown,20,GY,1567801501,70,6.8,-58.16,306.15,8.2
61,Imbituba,75,BR,1567801503,93,-28.24,-48.67,289.15,3.1
62,Punta Arenas,75,CL,1567801504,74,-53.16,-70.91,277.15,2.6
63,Malpe,75,IN,1567801284,94,13.35,74.72,296.15,8.02
64,Thompson,75,CA,1567801506,76,55.74,-97.86,284.15,3.6
65,Carnarvon,0,ZA,1567801508,21,-30.97,22.13,288.456,4.45
66,Yerbogachen,0,RU,1567801509,93,61.28,108.01,277.256,0.39
67,Dudinka,40,RU,1567801510,93,69.41,86.18,283.15,2.0
68,Ewo,100,CG,1567801511,71,-0.88,14.81,298.256,2.48
69,Tuktoyaktuk,20,CA,1567801512,71,69.44,-133.03,287.15,6.2
70,Port Macquarie,0,AU,1567801514,50,-31.43,152.91,288.71,7.7
71,Nanortalik,56,GL,1567801515,76,60.14,-45.24,281.456,4.73
72,Vilcun,75,CL,1567801217,62,-38.65,-72.23,287.59,3.6
73,Wonthaggi,35,AU,1567801517,78,-38.6,145.59,283.71,10.83
74,Vanavara,9,RU,1567801518,94,60.35,102.28,276.656,1.48
75,Busselton,100,AU,1567801520,68,-33.64,115.35,277.59,1.13
76,Salalah,90,OM,1567801434,94,17.01,54.1,299.15,1.0
77,Trinidad,40,BO,1567801522,48,-14.83,-64.9,290.15,4.6
78,Port Lincoln,100,AU,1567801523,68,-34.72,135.86,285.356,9.98
79,Port Blair,98,IN,1567801465,82,11.67,92.75,300.956,9.64
80,Anshan,100,CN,1567801526,93,41.11,122.99,292.756,2.26
81,Kizhinga,100,RU,1567801527,76,51.85,109.91,279.956,1.9
82,Cape Town,0,ZA,1567801528,93,-33.93,18.42,290.93,1.0
83,Airai,53,TL,1567801530,74,-8.93,125.41,292.056,1.46
84,San Quintin,100,PH,1567801531,93,17.54,120.52,296.556,1.4
85,Lazaro Cardenas,75,MX,1567801532,37,28.39,-105.62,306.48,2.6
86,Warner Robins,1,US,1567801364,34,32.62,-83.6,309.26,4.6
87,Qeshm,20,IR,1567801535,84,26.96,56.27,305.15,4.1
88,Mlyniv,58,UA,1567801536,86,50.51,25.61,286.48,2.86
89,Tasiilaq,100,GL,1567801537,80,65.61,-37.64,278.15,11.8
90,Pisco,40,PE,1567801538,30,-13.71,-76.2,295.15,3.6
91,Tateyama,75,JP,1567801540,68,36.66,137.31,299.82,1.79
92,Kahului,40,US,1567801541,55,20.89,-156.47,304.15,8.2
93,Jeremoabo,0,BR,1567801259,52,-10.08,-38.34,294.756,5.99
94,Kendal,18,ID,1567801543,66,-6.92,110.2,293.556,1.57
95,Touros,40,BR,1567801537,69,-5.2,-35.46,300.15,7.7
96,The Pas,1,CA,1567801546,58,53.82,-101.24,287.15,7.2
97,Anadyr,0,RU,1567801547,87,64.73,177.51,283.15,2.0
98,Sulphur,75,US,1567801548,41,30.24,-93.38,310.15,1.5
99,Vanimo,88,PG,1567801549,81,-2.67,141.3,299.356,7.04
100,Upernavik,0,GL,1567801551,66,72.79,-56.15,276.056,6.7
101,Bagar,47,IN,1567801552,61,28.19,75.5,304.356,3.56
102,Ostrovnoy,56,RU,1567801553,88,68.05,39.51,284.356,5.64
103,Matara,7,BI,1567801554,56,-3.48,29.48,285.756,0.69
104,Marawi,100,PH,1567801555,90,8.0,124.29,297.59,2.24
105,Ancud,75,CL,1567801557,71,-41.87,-73.83,284.15,2.6
106,Vostok,100,RU,1567801558,95,46.45,135.83,290.356,1.01
107,Aloleng,100,PH,1567801559,82,16.13,119.78,301.756,9.03
108,Dharchula,87,IN,1567801560,93,29.85,80.53,286.256,0.44
109,Vaini,100,IN,1567801562,93,15.34,74.49,297.656,3.81
110,Saint-Philippe,75,CA,1567801563,49,45.36,-73.48,297.04,4.6
111,Tabuk,100,PH,1567801564,98,17.41,121.44,291.256,0.86
112,Hithadhoo,57,MV,1567801565,75,-0.6,73.08,301.256,5.93
113,Meiganga,83,CM,1567801566,94,6.52,14.29,291.856,0.82
114,Osa,0,RU,1567801568,90,57.28,55.46,280.956,0.57
115,Hofn,99,IS,1567801569,80,64.25,-15.21,276.056,1.6
116,Coolum Beach,0,AU,1567801570,31,-26.53,153.09,290.93,4.47
117,Margate,90,AU,1567801571,66,-43.03,147.26,283.15,7.7
118,Madison,90,US,1567801447,53,43.07,-89.38,296.48,4.6
119,La Ronge,75,CA,1567801574,71,55.1,-105.3,287.15,3.6
120,Nybro,0,SE,1567801575,82,56.75,15.91,288.71,3.1
121,Ust-Karsk,100,RU,1567801576,98,52.71,118.82,284.656,1.65
122,Balkhash,100,KZ,1567801577,58,46.84,74.98,286.056,9.22
123,Sabang,100,PH,1567801579,78,13.8,121.11,299.82,1.45
124,Batemans Bay,19,AU,1567801580,55,-35.71,150.18,285.37,3.13
125,Buchanan,100,LR,1567801581,88,5.88,-10.05,298.756,5.69
126,Victoria,75,BN,1567801582,88,5.28,115.24,302.15,0.27
127,Saint Anthony,90,US,1567801584,87,43.97,-111.68,290.15,3.1
128,Tuatapere,18,NZ,1567801585,95,-46.13,167.69,277.04,4.07
129,Yorkton,40,CA,1567801586,37,51.21,-102.46,295.15,6.7
130,Cayenne,0,GF,1567801587,59,4.94,-52.33,305.15,5.1
131,Hamilton,90,CA,1567801544,77,43.26,-79.87,293.15,3.6
132,Richards Bay,85,ZA,1567801590,58,-28.77,32.06,291.756,5.32
133,Palmer,27,AU,1567801591,92,-34.85,139.16,284.26,4.55
134,Razdolnoye,100,RU,1567801592,57,43.7,44.53,291.556,3.41
135,Vestmanna,100,FO,1567801593,87,62.16,-7.17,280.15,2.6
136,Avarua,35,CK,1567801458,69,-21.21,-159.78,298.15,9.8
137,Vila Praia de Ancora,0,PT,1567801596,56,41.81,-8.85,296.48,4.6
138,Rosarito,40,CO,1567801447,48,4.91,-75.23,305.15,2.1
139,Mehamn,75,NO,1567801598,87,71.03,27.85,283.15,5.7
140,New Norfolk,90,AU,1567801599,66,-42.78,147.06,283.15,7.7
141,Bud,75,NO,1567801601,87,62.91,6.91,283.15,6.2
142,Kashan,0,IR,1567801602,19,33.99,51.44,300.15,1.0
143,Tefe,20,BR,1567801603,79,-3.35,-64.71,303.15,2.1
144,Lakes Entrance,100,AU,1567801604,80,-37.88,147.99,283.15,12.54
145,Menongue,78,AO,1567801605,24,-14.66,17.68,292.256,2.29
146,Kaura Namoda,1,NG,1567801607,71,12.59,6.58,300.356,3.83
147,Antalaha,70,MG,1567801608,95,-14.9,50.28,290.856,1.61
148,Santa Cruz del Sur,69,CU,1567801609,46,20.71,-78.0,306.556,2.34
149,Rubiataba,0,BR,1567801611,16,-15.16,-49.8,304.156,2.24
150,Bredasdorp,13,ZA,1567801612,82,-34.53,20.04,290.93,4.1
151,Ojinaga,90,US,1567801613,34,29.56,-104.41,307.15,2.6
152,Barra,46,BR,1567801614,29,-11.09,-43.14,302.856,3.68
153,Nova Olinda do Norte,71,BR,1567801615,47,-3.89,-59.1,307.256,0.67
154,Nizwa,100,OM,1567801617,27,22.93,57.53,303.456,0.61
155,Linqiong,40,CN,1567801618,94,30.42,103.46,299.26,1.0
156,Churapcha,96,RU,1567801619,75,62.0,132.43,279.456,1.21
157,Ponta do Sol,73,BR,1567801620,56,-20.63,-46.0,296.356,1.61
158,Svetlogorsk,40,RU,1567801622,87,53.14,59.15,281.15,3.0
159,Iracoubo,89,GF,1567801623,77,5.48,-53.21,300.356,3.55
160,Labe,67,NG,1567801624,97,7.7,8.47,296.556,2.03
161,Marystown,0,CA,1567801625,68,47.17,-55.16,287.856,7.11
162,Husavik,16,CA,1567801627,36,50.56,-96.99,294.26,3.58
163,Torbay,20,CA,1567801358,42,47.66,-52.73,292.04,7.2
164,Butaritari,100,KI,1567801629,73,3.07,172.79,302.256,5.12
165,Namatanai,100,PG,1567801630,81,-3.66,152.44,298.056,8.37
166,Esperantinopolis,0,BR,1567801631,37,-4.87,-44.71,304.156,1.99
167,Caxito,90,BR,1567801633,82,-22.65,-42.51,294.15,3.6
168,Rawson,100,AR,1567801634,59,-43.3,-65.11,282.656,7.94
169,Arman,2,RU,1567801635,78,59.7,150.17,281.356,2.56
170,Jalu,0,LY,1567801636,44,29.03,21.55,300.756,3.17
171,Alofi,75,NU,1567801637,78,-19.06,-169.92,297.15,4.6
172,Natchez,1,US,1567801639,44,31.56,-91.4,309.26,2.1
173,Bethel,90,US,1567801640,81,60.79,-161.76,286.15,5.1
174,Faanui,62,PF,1567801641,75,-16.48,-151.75,297.056,10.33
175,Nerchinskiy Zavod,100,RU,1567801642,98,51.31,119.61,285.456,2.88
176,Burkburnett,40,US,1567801644,24,34.1,-98.57,311.48,6.7
177,Cabo San Lucas,40,MX,1567801486,66,22.89,-109.91,304.82,5.1
178,Biak,71,ID,1567801646,99,-0.91,122.88,289.756,1.65
179,Siuna,93,NI,1567801647,71,13.73,-84.78,298.656,1.39
180,Talnakh,40,RU,1567801648,93,69.49,88.39,283.15,2.0
181,Alta Floresta,20,BR,1567801650,32,-9.87,-56.08,310.15,2.6
182,Kautokeino,100,NO,1567801651,84,69.01,23.04,279.056,5.84
183,Broken Hill,0,AU,1567801652,70,-31.97,141.45,279.15,6.2
184,Moindou,0,NC,1567801653,87,-21.69,165.68,286.15,0.5
185,Christchurch,100,NZ,1567801655,75,-43.53,172.64,279.26,3.6
186,Masuguru,99,MZ,1567801657,53,-11.38,38.46,297.256,3.63
187,Chokurdakh,100,RU,1567801658,86,70.62,147.9,277.056,2.4
188,Khatanga,25,RU,1567801659,94,71.98,102.47,277.856,5.56
189,Magadan,0,RU,1567801661,80,59.56,150.8,284.156,1.7
190,Roald,75,NO,1567801662,87,62.58,6.12,283.15,6.2
191,Itarema,28,BR,1567801663,70,-2.92,-39.92,298.856,5.4
192,Sinjar,0,SY,1567801664,89,35.59,37.0,293.156,4.52
193,Esna,5,RO,1567801665,48,45.2,27.57,292.15,4.1
194,Saldanha,0,PT,1567801667,39,41.42,-6.55,291.856,6.5
195,Listvyanskiy,100,RU,1567801668,82,54.44,83.49,283.656,3.08
196,Sosva,13,RU,1567801669,93,59.17,61.86,280.656,0.98
197,Kiruna,0,SE,1567801670,70,67.86,20.23,280.15,3.6
198,Naze,100,NG,1567801672,96,5.43,7.07,295.756,1.09
199,Camacha,40,PT,1567801673,68,33.08,-16.33,295.15,6.7
200,Yabrud,0,SY,1567801674,64,33.97,36.66,295.15,11.8
201,Superior,75,US,1567801675,53,39.95,-105.17,303.15,3.6
202,Kavaratti,100,IN,1567801677,79,10.57,72.64,301.256,9.65
203,Souillac,0,FR,1567801678,67,45.6,-0.6,289.82,3.6
204,Provideniya,99,RU,1567801679,78,64.42,-173.23,281.956,1.57
205,Flin Flon,75,CA,1567801680,50,54.77,-101.88,287.15,4.6
206,Pangnirtung,40,CA,1567801681,81,66.15,-65.72,281.15,4.6
207,Bonavista,0,CA,1567801683,50,48.65,-53.11,291.48,4.92
208,Gornyye Klyuchi,100,RU,1567801684,97,45.25,133.5,293.156,2.34
209,Ridgecrest,1,US,1567801685,23,35.62,-117.67,311.48,2.6
210,Angoram,61,PG,1567801686,99,-4.06,144.07,295.856,0.93
211,Hanyang,99,CN,1567801688,87,32.14,105.51,293.556,1.48
212,Busca,0,IT,1567801689,100,44.52,7.47,289.26,0.5
213,Mahebourg,40,MU,1567801690,88,-20.41,57.7,294.82,1.5
214,Lavrentiya,69,RU,1567801691,76,65.58,-170.99,282.156,1.16
215,Chico,5,US,1567801462,30,39.73,-121.84,304.15,3.53
216,Peterhead,75,AU,1567801694,81,-34.83,138.5,284.26,7.7
217,Balkanabat,0,TM,1567801695,17,39.51,54.36,298.256,4.31
218,Springbok,0,ZA,1567801696,20,-29.67,17.88,296.256,4.93
219,Praia,0,BR,1567801698,57,-20.25,-43.81,297.15,5.1
220,Arcos de la Frontera,0,ES,1567801699,36,36.75,-5.81,301.15,2.1
221,Brae,29,GB,1567801700,76,60.4,-1.35,283.15,7.7
222,Iqaluit,40,CA,1567801701,61,63.75,-68.52,283.15,5.1
223,Sioux Lookout,20,CA,1567801702,63,50.1,-91.92,293.15,6.2
224,Bantul,59,ID,1567801704,85,-7.89,110.33,296.456,4.1
225,Lahad Datu,98,MY,1567801705,95,5.02,118.33,295.856,0.9
226,Havre,90,US,1567801706,43,48.55,-109.68,294.15,10.8
227,Youghal,75,IE,1567801708,71,51.95,-7.85,287.04,5.7
228,Norman Wells,75,CA,1567801709,67,65.28,-126.83,287.15,5.1
229,Colesberg,0,ZA,1567801710,34,-30.72,25.1,285.156,3.74
230,Lompoc,1,US,1567801711,64,34.64,-120.46,305.37,7.2
231,Hilo,75,US,1567801712,65,19.71,-155.08,302.04,2.6
232,Shihezi,100,CN,1567801714,62,44.3,86.03,290.956,2.67
233,Vavoua,100,CI,1567801715,98,7.38,-6.48,296.556,2.14
234,Santa Vitoria do Palmar,100,BR,1567801716,86,-33.52,-53.37,286.256,5.64
235,Hami,53,CN,1567801717,19,42.84,93.51,295.356,9.04
236,Leninskoye,0,RU,1567801719,76,54.82,82.85,284.15,2.0
237,Maniitsoq,100,GL,1567801720,68,65.42,-52.9,279.856,1.63
238,Pucallpa,75,PE,1567801721,331,-8.38,-74.54,275.15,2.1
239,Dicabisagan,100,PH,1567801722,94,17.08,122.42,297.056,1.21
240,Carutapera,26,BR,1567801724,77,-1.2,-46.02,299.956,3.68
241,Port Elizabeth,90,US,1567801725,82,39.31,-74.98,292.59,9.3
242,Geraldton,90,CA,1567801726,87,49.72,-86.95,286.15,1.5
243,Bambous Virieux,40,MU,1567801727,88,-20.34,57.76,294.82,1.5
244,Yarada,75,IN,1567801728,83,17.65,83.27,300.15,5.1
245,Clyde River,75,CA,1567801730,86,70.47,-68.59,277.15,11.3
246,Palana,100,RU,1567801731,93,59.08,159.95,283.256,6.64
247,Sistranda,75,NO,1567801732,87,63.73,8.83,282.59,5.7
248,Meulaboh,24,ID,1567801733,76,4.14,96.13,300.756,2.73
249,Boyolangu,4,ID,1567801734,95,-8.09,111.9,291.256,2.28
250,Mandleshwar,100,IN,1567801736,88,22.18,75.67,298.556,4.31
251,Lamu,0,CN,1567801737,83,35.77,102.37,283.756,1.11
252,Mar del Plata,100,AR,1567801738,66,-46.43,-67.52,279.156,3.15
253,Katangli,22,RU,1567801740,92,51.71,143.23,288.156,6.94
254,Ulladulla,0,AU,1567801741,53,-35.36,150.48,284.82,10.8
255,Mardin,0,TR,1567801742,28,37.32,40.72,301.15,3.6
256,Laguna,75,BZ,1567801743,66,16.17,-88.94,304.15,3.1
257,Waingapu,0,ID,1567801745,91,-9.65,120.26,292.356,2.17
258,Maragogi,0,BR,1567801598,88,-9.01,-35.22,294.156,2.55
259,Magistralnyy,100,RU,1567801747,97,56.17,107.45,277.656,0.78
260,Sobolevo,83,RU,1567801748,89,54.43,31.9,287.956,2.95
261,Thomaston,1,US,1567801588,26,32.89,-84.33,308.15,3.6
262,Darnah,0,LY,1567801751,72,32.77,22.64,299.356,2.73
263,Gimli,40,CA,1567801752,36,50.63,-96.99,294.26,3.58
264,Nemuro,100,JP,1567801753,85,43.32,145.57,291.656,3.52
265,Kutum,100,SD,1567801754,43,14.2,24.66,299.756,4.3
266,Quatre Cocos,40,MU,1567801755,88,-20.21,57.76,294.82,1.5
267,San Carlos de Bariloche,75,AR,1567801757,69,-41.13,-71.31,276.15,2.6
268,Sitka,0,US,1567801758,29,37.17,-99.65,308.15,4.47
269,Benghazi,0,LY,1567801759,68,32.12,20.07,299.756,3.26
270,Carndonagh,75,IE,1567801760,93,55.25,-7.27,286.15,3.1
271,Bubaque,18,GW,1567801762,84,11.28,-15.83,300.556,4.56
272,Verkhoyansk,90,RU,1567801763,71,67.55,133.39,278.756,0.87
273,Raudeberg,75,NO,1567801764,87,61.99,5.14,283.15,4.1
274,Rocha,100,UY,1567801765,78,-34.48,-54.34,285.256,5.64
275,Abu Samrah,0,SY,1567801767,89,35.3,37.18,293.156,4.52
276,Castro,75,CL,1567801768,76,-42.48,-73.76,283.15,2.1
277,Port Hedland,40,AU,1567801769,100,-20.31,118.58,289.15,2.6
278,Banda Aceh,21,ID,1567801770,82,5.56,95.32,300.956,9.87
279,Along,100,IN,1567801772,95,28.17,94.8,288.856,1.02
280,San Vito al Tagliamento,75,IT,1567801773,88,45.92,12.86,291.48,2.6
281,Almas,14,BR,1567801774,16,-11.57,-47.17,304.256,3.02
282,Alice Springs,40,AU,1567801775,36,-23.7,133.88,281.15,2.1
283,Alyangula,48,AU,1567801776,93,-13.85,136.42,287.15,1.5
284,Makakilo City,75,US,1567801778,65,21.35,-158.09,305.15,6.7
285,Ilulissat,20,GL,1567801779,56,69.22,-51.1,278.15,5.1
286,Kodiak,1,US,1567801780,65,39.95,-94.76,302.15,3.6
287,Road Town,40,VG,1567801781,66,18.42,-64.62,304.15,2.6
288,Nishihara,1,JP,1567801783,88,35.74,139.53,299.82,1.73
289,Tongzi,80,CN,1567801784,91,28.78,105.09,296.856,0.5
290,Foz do Iguacu,0,BR,1567801785,61,-25.55,-54.59,299.15,5.1
291,Mogadishu,20,SO,1567801786,74,2.04,45.34,299.15,9.8
292,Avanigadda,100,IN,1567801787,90,16.02,80.92,298.356,2.47
293,Beyneu,8,KZ,1567801789,34,45.32,55.19,290.456,2.6
294,Yeppoon,0,AU,1567801790,76,-23.13,150.74,287.15,2.1
295,Bluefield,1,US,1567801753,31,37.27,-81.22,302.15,4.1
296,Palauig,100,PH,1567801792,82,15.44,119.9,301.656,7.88
297,Galveston,90,US,1567801794,88,40.58,-86.19,297.04,4.6
298,Newport,90,US,1567801570,68,41.49,-71.31,292.15,6.2
299,Ostersund,0,SE,1567801796,66,63.18,14.64,282.15,3.1
300,La Baule-Escoublac,0,FR,1567801798,77,47.28,-2.4,290.93,5.1
301,Almenara,90,BR,1567801799,94,-16.17,-40.69,291.956,2.09
302,Kenai,20,US,1567801800,71,60.55,-151.26,287.15,2.6
303,Kulhudhuffushi,2,MV,1567801801,78,6.62,73.07,301.256,5.92
304,Sidney,1,US,1567801561,39,47.72,-104.16,299.15,4.1
305,Loei,64,TH,1567801804,92,17.49,101.72,298.15,2.19
306,Rome,0,IT,1567801538,63,41.89,12.48,296.15,1.0
307,Gizo,20,IL,1567801806,69,31.8,34.94,300.15,1.0
308,Aklavik,20,CA,1567801807,87,68.22,-135.01,289.15,1.5
309,Liverpool,40,GB,1567801568,77,53.41,-2.98,288.15,8.2
310,Dongsheng,0,CN,1567801813,67,29.72,112.52,295.056,1.64
311,Batagay,99,RU,1567801815,82,67.65,134.64,277.956,1.18
312,Sao Filipe,100,CV,1567801816,84,14.9,-24.5,300.356,9.8
313,Curaca,0,BR,1567801817,31,-8.99,-39.91,302.056,7.61
314,Ribeira Grande,75,PT,1567801818,68,38.52,-28.7,295.15,5.7
315,Puri,65,ID,1567801820,85,-7.54,112.45,294.156,4.32
316,Boda,100,CF,1567801821,89,4.32,17.47,294.056,1.02
317,Ballina,75,IE,1567801822,93,54.11,-9.15,286.48,3.1
318,Gillette,1,US,1567801823,34,44.29,-105.5,302.04,11.3
319,Krasnogvardeyskoye,100,RU,1567801825,47,45.84,41.51,294.056,2.24
320,Andros Town,40,BS,1567801826,66,24.73,-77.79,305.93,3.1
321,Nsoko,100,ZA,1567801827,91,-27.07,31.93,284.856,1.74
322,Pachino,0,IT,1567801828,83,36.72,15.09,295.15,1.5
323,Ust-Omchug,99,RU,1567801830,95,61.13,149.63,275.656,3.12
324,Huarmey,98,PE,1567801832,89,-10.07,-78.15,288.956,6.75
325,Shar,75,NG,1567801833,90,7.3,8.73,297.556,3.72
326,Klaksvik,60,FO,1567801834,87,62.23,-6.59,280.15,2.6
327,Lata,6,IN,1567801835,90,30.78,78.62,278.156,1.05
328,Luderitz,0,NA,1567801837,76,-26.65,15.16,287.15,4.6
329,Henties Bay,22,NA,1567801838,86,-22.12,14.28,287.59,3.58
330,Gloversville,1,US,1567801839,63,43.05,-74.34,295.37,4.1
331,Sasd,100,HU,1567801840,71,46.26,18.11,290.956,3.54
332,Almaznyy,40,RU,1567801842,64,48.03,40.04,293.15,7.0
333,Buin,75,CL,1567801843,41,-33.73,-70.74,289.15,2.6
334,Klyuchi,53,RU,1567801844,70,52.25,79.17,285.256,4.5
335,San Ramon de la Nueva Oran,1,AR,1567801845,28,-23.13,-64.33,300.456,2.12
336,Deputatskiy,100,RU,1567801846,87,69.3,139.9,275.656,1.01
337,Talara,0,PE,1567801848,290,-4.58,-81.27,290.15,5.1
338,Monrovia,100,LR,1567801849,90,6.33,-10.8,298.156,4.28
339,Halifax,90,CA,1567801656,59,44.65,-63.58,293.15,4.1
340,Calama,40,CL,1567801851,10,-22.46,-68.93,295.37,9.8
341,Vangaindrano,69,MG,1567801852,82,-23.35,47.6,291.856,4.31
342,Vorotynets,0,RU,1567801854,92,56.06,45.86,285.056,1.97
343,Neon Karlovasion,0,GR,1567801855,47,37.79,26.7,298.15,2.6
344,Yairipok,93,IN,1567801856,97,24.67,94.07,294.056,1.09
345,Belmonte,0,PT,1567801857,31,40.36,-7.35,293.15,3.33
346,Kailua,75,US,1567801859,65,21.39,-157.74,305.15,6.7
347,Ocos,75,GT,1567801860,55,14.51,-92.19,306.15,4.1
348,Dhadar,76,IN,1567801861,59,28.33,75.06,304.956,3.13
349,Nizhniy Chir,100,RU,1567801862,37,48.36,43.08,291.056,4.41
350,Bathsheba,40,BB,1567801863,74,13.22,-59.52,303.15,2.6
351,Campo Grande,0,BR,1567801847,16,-20.46,-54.62,309.15,4.6
352,Te Anau,65,NZ,1567801866,82,-45.41,167.72,275.456,1.63
353,Abonnema,100,NG,1567801867,94,4.71,6.79,296.856,0.27
354,Sorong,90,ID,1567801868,93,-0.86,131.25,296.456,3.23
355,Isangel,20,VU,1567801869,88,-19.55,169.27,291.15,4.87
356,Bom Jesus,0,BR,1567801871,19,-9.08,-44.36,303.856,4.1
357,Turukhansk,88,RU,1567801872,80,65.8,87.96,283.156,2.66
358,Evensk,100,RU,1567801873,91,61.92,159.24,282.256,2.2
359,Bulgan,1,MN,1567801874,94,48.81,103.53,277.056,0.55
360,Assiniboia,92,CA,1567801875,34,49.63,-105.99,294.256,3.96
361,Padang,100,ID,1567801877,84,-0.92,100.36,299.956,7.95
362,Hobyo,4,SO,1567801878,83,5.35,48.53,297.956,11.83
363,Fortuna,40,US,1567801879,60,40.6,-124.16,299.26,3.6
364,Dikson,100,RU,1567801880,98,73.51,80.55,278.956,9.58
365,Los Llanos de Aridane,75,ES,1567801882,69,28.66,-17.92,296.15,5.1
366,Komsomolskiy,57,RU,1567801883,87,67.55,63.78,285.656,4.71
367,Strathmore,90,CA,1567801884,48,51.04,-113.4,293.71,7.2
368,Hasanabad,0,IR,1567801885,27,35.37,51.24,299.15,3.1
369,Palmares do Sul,100,BR,1567801886,86,-30.26,-50.51,290.93,3.13
370,Umm Lajj,0,SA,1567801874,66,25.02,37.27,303.056,5.1
371,Tshela,7,CD,1567801889,84,-4.99,12.94,295.156,1.53
372,Karlskoga,95,SE,1567801744,81,59.33,14.52,286.48,2.6
373,Micheweni,0,TZ,1567801891,78,-4.97,39.83,298.256,6.17
